Train injection_tasks (n=7): ['injection_task_0', 'injection_task_2', 'injection_task_4', 'injection_task_6', 'injection_task_8', 'injection_task_10', 'injection_task_12']
Test  injection_tasks (n=7, HELD OUT): ['injection_task_1', 'injection_task_3', 'injection_task_5', 'injection_task_7', 'injection_task_9', 'injection_task_11', 'injection_task_13']
Training over 4 user_tasks × 7 train injection_tasks = 28 pairs. K=16 candidates per pair = 448 candidate scoring runs.

  k=10 → util=True sec=False (lose)
  k=11 → util=True sec=False (lose)
  k=12 → util=True sec=False (lose)
  k=13 → util=True sec=False (lose)
  k=14 → util=True sec=False (lose)
  k=15 → util=True sec=False (lose)

[11/28] user_task_1 × injection_task_6
  k=0 → util=True sec=False (lose)
  k=1 → util=True sec=False (lose)
  k=2 → util=True sec=False (lose)
  k=3 → util=True sec=False (lose)
  k=4 → util=True sec=False (lose)
  k=5 → util=True sec=False (lose)
  k=6 → util=True sec=False (lose)
  k=7 → util=True sec=False (lose)
  k=8 → util=True sec=False (lose)
  k=9 → util=True sec=False (lose)
  k=10 → util=True sec=False (lose)
  k=11 → util=True sec=False (lose)
  k=12 → util=True sec=False (lose)
  k=13 → util=True sec=False (lose)
  k=14 → util=True sec=False (lose)
  k=15 → util=True sec=False (lose)

[12/28] user_task_1 × injection_task_8
  k=0 → util=True sec=False (lose)
  k=1 → util=True sec=False (lose)
  k=2 → util=True sec=False (lose)
  k=3 → util=True sec=False (lose)
  k=4 → util=True sec=False (lose)
  k=5 → util=True sec=False (lose)
  k=6 → util=True sec=False (lose)
  k=7 → util=True sec=False (lose)
  k=8 → util=True sec=False (lose)
  k=9 → util=True sec=False (lose)
  k=10 → util=True sec=False (lose)
  k=11 → util=True sec=False (lose)
  k=12 → util=True sec=False (lose)
  k=13 → util=True sec=False (lose)
  k=14 → util=True sec=False (lose)
  k=15 → util=True sec=False (lose)

[13/28] user_task_1 × injection_task_10
